sample_id	date	precision	imputed_date	lower50_date	upper50_date	lower95_date	upper95_date
G4150	2014-07-07	precise	2014-07-07	2014-07-07	2014-07-07	2014-07-07	2014-07-07
G4151	2014-07-09	precise	2014-07-09	2014-07-09	2014-07-09	2014-07-09	2014-07-09
G4187	2014-07-08	precise	2014-07-08	2014-07-08	2014-07-08	2014-07-08	2014-07-08
G4188	2014-07-08	precise	2014-07-08	2014-07-08	2014-07-08	2014-07-08	2014-07-08
G4190	2014-07-08	precise	2014-07-08	2014-07-08	2014-07-08	2014-07-08	2014-07-08
G4192	2014-07-08	precise	2014-07-08	2014-07-08	2014-07-08	2014-07-08	2014-07-08
G4193	2014-07-08	precise	2014-07-08	2014-07-08	2014-07-08	2014-07-08	2014-07-08
G4200	2014-07-08	precise	2014-07-08	2014-07-08	2014-07-08	2014-07-08	2014-07-08
G4201	2014-07-08	precise	2014-07-08	2014-07-08	2014-07-08	2014-07-08	2014-07-08
G4202	2014-07-08	precise	2014-07-08	2014-07-08	2014-07-08	2014-07-08	2014-07-08
G4204	2014-07-08	precise	2014-07-08	2014-07-08	2014-07-08	2014-07-08	2014-07-08
G4209	2014-07-08	precise	2014-07-08	2014-07-08	2014-07-08	2014-07-08	2014-07-08
G4213	2014-07-08	precise	2014-07-08	2014-07-08	2014-07-08	2014-07-08	2014-07-08
G4216	2014-07-09	precise	2014-07-09	2014-07-09	2014-07-09	2014-07-09	2014-07-09
G4217	2014-07-08	precise	2014-07-08	2014-07-08	2014-07-08	2014-07-08	2014-07-08
G4220-2	2014-07-11	precise	2014-07-11	2014-07-11	2014-07-11	2014-07-11	2014-07-11
G4221	2014-07-08	precise	2014-07-08	2014-07-08	2014-07-08	2014-07-08	2014-07-08
G4225-5	2014-XX-XX	imprecise	2014-07-05	2014-07-01	2014-07-10	2014-06-25	2014-07-19
G4235	2014-07-08	precise	2014-07-08	2014-07-08	2014-07-08	2014-07-08	2014-07-08
G4236	2014-07-11	precise	2014-07-11	2014-07-11	2014-07-11	2014-07-11	2014-07-11
G4238	2014-07-11	precise	2014-07-11	2014-07-11	2014-07-11	2014-07-11	2014-07-11
G4250	2014-07-11	precise	2014-07-11	2014-07-11	2014-07-11	2014-07-11	2014-07-11
G4251	2014-07-11	precise	2014-07-11	2014-07-11	2014-07-11	2014-07-11	2014-07-11
G4252	2014-07-11	precise	2014-07-11	2014-07-11	2014-07-11	2014-07-11	2014-07-11
G4253	2014-07-11	precise	2014-07-11	2014-07-11	2014-07-11	2014-07-11	2014-07-11
G4254	2014-07-11	precise	2014-07-11	2014-07-11	2014-07-11	2014-07-11	2014-07-11
G4255	2014-07-11	precise	2014-07-11	2014-07-11	2014-07-11	2014-07-11	2014-07-11
G4263	2014-07-11	precise	2014-07-11	2014-07-11	2014-07-11	2014-07-11	2014-07-11
G4264	2014-07-11	precise	2014-07-11	2014-07-11	2014-07-11	2014-07-11	2014-07-11
G4286	2014-07-11	precise	2014-07-11	2014-07-11	2014-07-11	2014-07-11	2014-07-11
G4287	2014-07-12	precise	2014-07-12	2014-07-12	2014-07-12	2014-07-12	2014-07-12
G4288	2014-07-12	precise	2014-07-12	2014-07-12	2014-07-12	2014-07-12	2014-07-12
G4295	2014-07-14	precise	2014-07-14	2014-07-14	2014-07-14	2014-07-14	2014-07-14
G4299	2014-07-14	precise	2014-07-14	2014-07-14	2014-07-14	2014-07-14	2014-07-14
G4300	2014-07-14	precise	2014-07-14	2014-07-14	2014-07-14	2014-07-14	2014-07-14
G4301	2014-07-14	precise	2014-07-14	2014-07-14	2014-07-14	2014-07-14	2014-07-14
G4312	2014-07-14	precise	2014-07-14	2014-07-14	2014-07-14	2014-07-14	2014-07-14
G4316	2014-07-14	precise	2014-07-14	2014-07-14	2014-07-14	2014-07-14	2014-07-14
G4322	2014-07-14	precise	2014-07-14	2014-07-14	2014-07-14	2014-07-14	2014-07-14
G4323-2	2014-07-16	precise	2014-07-16	2014-07-16	2014-07-16	2014-07-16	2014-07-16
G4324	2014-07-14	precise	2014-07-14	2014-07-14	2014-07-14	2014-07-14	2014-07-14
G4325	2014-07-14	precise	2014-07-14	2014-07-14	2014-07-14	2014-07-14	2014-07-14
G4328	2014-07-14	precise	2014-07-14	2014-07-14	2014-07-14	2014-07-14	2014-07-14
G4329	2014-07-14	precise	2014-07-14	2014-07-14	2014-07-14	2014-07-14	2014-07-14
G4330	2014-07-14	precise	2014-07-14	2014-07-14	2014-07-14	2014-07-14	2014-07-14
G4332	2014-07-14	precise	2014-07-14	2014-07-14	2014-07-14	2014-07-14	2014-07-14
G4333	2014-07-14	precise	2014-07-14	2014-07-14	2014-07-14	2014-07-14	2014-07-14
G4334	2014-07-14	precise	2014-07-14	2014-07-14	2014-07-14	2014-07-14	2014-07-14
G4337	2014-07-14	precise	2014-07-14	2014-07-14	2014-07-14	2014-07-14	2014-07-14
G4338	2014-07-14	precise	2014-07-14	2014-07-14	2014-07-14	2014-07-14	2014-07-14
G4342	2014-07-16	precise	2014-07-16	2014-07-16	2014-07-16	2014-07-16	2014-07-16
G4345	2014-07-16	precise	2014-07-16	2014-07-16	2014-07-16	2014-07-16	2014-07-16
G4346	2014-07-16	precise	2014-07-16	2014-07-16	2014-07-16	2014-07-16	2014-07-16
G4347	2014-07-16	precise	2014-07-16	2014-07-16	2014-07-16	2014-07-16	2014-07-16
G4348	2014-07-16	precise	2014-07-16	2014-07-16	2014-07-16	2014-07-16	2014-07-16
G4350	2014-07-16	precise	2014-07-16	2014-07-16	2014-07-16	2014-07-16	2014-07-16
G4368-2	2014-07-17	precise	2014-07-17	2014-07-17	2014-07-17	2014-07-17	2014-07-17
G4380	2014-07-16	precise	2014-07-16	2014-07-16	2014-07-16	2014-07-16	2014-07-16
G4382	2014-07-16	precise	2014-07-16	2014-07-16	2014-07-16	2014-07-16	2014-07-16
G4386-3	2014-XX-XX	imprecise	2014-07-11	2014-07-07	2014-07-16	2014-06-29	2014-07-28
G4388	2014-XX-XX	imprecise	2014-07-11	2014-07-07	2014-07-16	2014-06-29	2014-07-28
G4389	2014-07-16	precise	2014-07-16	2014-07-16	2014-07-16	2014-07-16	2014-07-16
G4406	2014-07-16	precise	2014-07-16	2014-07-16	2014-07-16	2014-07-16	2014-07-16
G4415	2014-07-16	precise	2014-07-16	2014-07-16	2014-07-16	2014-07-16	2014-07-16
G4416	2014-07-16	precise	2014-07-16	2014-07-16	2014-07-16	2014-07-16	2014-07-16
G4419	2014-07-16	precise	2014-07-16	2014-07-16	2014-07-16	2014-07-16	2014-07-16
G4422	2014-07-16	precise	2014-07-16	2014-07-16	2014-07-16	2014-07-16	2014-07-16
G4423	2014-07-16	precise	2014-07-16	2014-07-16	2014-07-16	2014-07-16	2014-07-16
G4424	2014-07-16	precise	2014-07-16	2014-07-16	2014-07-16	2014-07-16	2014-07-16
G4431	2014-08-18	precise	2014-08-18	2014-08-18	2014-08-18	2014-08-18	2014-08-18
G4433	2014-07-17	precise	2014-07-17	2014-07-17	2014-07-17	2014-07-17	2014-07-17
G4437	2014-07-17	precise	2014-07-17	2014-07-17	2014-07-17	2014-07-17	2014-07-17
G4438	2014-07-17	precise	2014-07-17	2014-07-17	2014-07-17	2014-07-17	2014-07-17
G4439	2014-07-17	precise	2014-07-17	2014-07-17	2014-07-17	2014-07-17	2014-07-17
G4440	2014-07-17	precise	2014-07-17	2014-07-17	2014-07-17	2014-07-17	2014-07-17
G4441	2014-07-17	precise	2014-07-17	2014-07-17	2014-07-17	2014-07-17	2014-07-17
G4445	2014-07-17	precise	2014-07-17	2014-07-17	2014-07-17	2014-07-17	2014-07-17
G4450	2014-07-17	precise	2014-07-17	2014-07-17	2014-07-17	2014-07-17	2014-07-17
G4453	2014-07-17	precise	2014-07-17	2014-07-17	2014-07-17	2014-07-17	2014-07-17
G4454	2014-07-17	precise	2014-07-17	2014-07-17	2014-07-17	2014-07-17	2014-07-17
G4455	2014-07-17	precise	2014-07-17	2014-07-17	2014-07-17	2014-07-17	2014-07-17
G4457	2014-07-17	precise	2014-07-17	2014-07-17	2014-07-17	2014-07-17	2014-07-17
G4458	2014-07-17	precise	2014-07-17	2014-07-17	2014-07-17	2014-07-17	2014-07-17
G4465	2014-07-17	precise	2014-07-17	2014-07-17	2014-07-17	2014-07-17	2014-07-17
G4466	2014-07-17	precise	2014-07-17	2014-07-17	2014-07-17	2014-07-17	2014-07-17
G4485-2	2014-XX-XX	imprecise	2014-07-16	2014-07-11	2014-07-21	2014-07-02	2014-08-03
G4495-3	2014-XX-XX	imprecise	2014-07-16	2014-07-11	2014-07-22	2014-07-03	2014-08-04
G4496-5	2014-XX-XX	imprecise	2014-07-16	2014-07-11	2014-07-22	2014-07-03	2014-08-04
G4518-3	2014-XX-XX	imprecise	2014-07-17	2014-07-12	2014-07-23	2014-07-03	2014-08-05
G4527-2	2014-07-16	precise	2014-07-16	2014-07-16	2014-07-16	2014-07-16	2014-07-16
G4555-2	2014-XX-XX	imprecise	2014-07-19	2014-07-13	2014-07-25	2014-07-05	2014-08-08
G4561-2	2014-XX-XX	imprecise	2014-07-19	2014-07-14	2014-07-25	2014-07-05	2014-08-08
G4583-2	2014-XX-XX	imprecise	2014-07-20	2014-07-15	2014-07-26	2014-07-06	2014-08-10
G4649	2014-XX-XX	imprecise	2014-07-24	2014-07-18	2014-07-30	2014-07-08	2014-08-14
G4683	2014-XX-XX	imprecise	2014-07-25	2014-07-19	2014-08-01	2014-07-09	2014-08-17
G4690	2014-XX-XX	imprecise	2014-07-26	2014-07-20	2014-08-02	2014-07-10	2014-08-18
G4697	2014-XX-XX	imprecise	2014-07-26	2014-07-20	2014-08-02	2014-07-10	2014-08-18
G4698	2014-XX-XX	imprecise	2014-07-26	2014-07-20	2014-08-02	2014-07-10	2014-08-18
G4699	2014-XX-XX	imprecise	2014-07-26	2014-07-20	2014-08-02	2014-07-10	2014-08-18
G4700	2014-XX-XX	imprecise	2014-07-26	2014-07-20	2014-08-02	2014-07-10	2014-08-18
G4701	2014-XX-XX	imprecise	2014-07-26	2014-07-20	2014-08-02	2014-07-10	2014-08-18
G4702	2014-XX-XX	imprecise	2014-07-26	2014-07-20	2014-08-03	2014-07-10	2014-08-19
